2018-10-05,6578.77,6615.33,6548.24,6591.38
2018-10-06,6591.38,6668.39,6563.33,6593.99
2018-10-07,6593.99,6599.57,6535.26,6572.95
2018-10-08,6573.85,6697.92,6565.06,6660.6
2018-10-09,6660.55,6660.55,6589.53,6622.87
2018-10-10,6622.8,6640.03,6489.16,6567.21
2018-10-11,6566.91,6585.62,6173.1,6253.63
2018-10-12,6255.19,6296.39,6174.48,6265.96
2018-10-13,6265.47,6279.68,6234.62,6259.67
2018-10-14,6259.13,6340.05,6257.43,6295.93
2018-10-15,6295.93,7198.02,6245.02,6543.5
2018-10-16,6543.26,6722.6,6539.31,6576.06
2018-10-17,6576.38,6608.07,6511.64,6567.25
2018-10-18,6566.89,6615.95,6460.72,6462.77
2018-10-19,6462.45,6502.63,6445.06,6466
2018-10-20,6466.09,6514.55,6415.6,6434.05
2018-10-21,6433.44,6557.37,6412.02,6534.59
2018-10-22,6534.54,6534.54,6462.37,6483.39
2018-10-23,6483.27,6495.81,6439.33,6473.4
2018-10-24,6473.39,6535.28,6464.13,6491.72
2018-10-25,6491.56,6497.71,6442.15,6470.53
2018-10-26,6471.17,6512.59,6441.84,6457.67
2018-10-27,6457.75,6478.4,6446.69,6478.03
2018-10-28,6478.09,6483.21,6444.79,6460.29
2018-10-29,6460.29,6483.2,6283.45,6311.74
2018-10-30,6311.92,6340.66,6286.35,6309.74
2018-10-31,6307.46,6390.76,6241.91,6350.67
2018-11-01,6350.64,6401.52,6322.6,6379.51
2018-11-02,6379.51,6420.93,6371.65,6392.82
2018-11-03,6392.76,6398.09,6337.37,6374.94
2018-11-04,6375.18,6497.44,6351.92,6447.79
2018-11-05,6447.79,6475.7,6406.9,6432.91
2018-11-06,6432.78,6473.27,6412.63,6468.23
2018-11-07,6468.24,6562.71,6464.84,6529
2018-11-08,6529.03,6542.42,6439.67,6447.98
2018-11-09,6447.83,6457.97,6352.55,6377.54
2018-11-10,6377.55,6419.92,6375.62,6410.99
2018-11-11,6410.99,6413.48,6328.51,6366.41
2018-11-12,6366.41,6435.03,6351.02,6373.48
2018-11-13,6372.97,6388.95,6321.04,6356.86
2018-11-14,6356.67,6375.63,5473.44,5643.1
2018-11-15,5640.07,5766.94,5300.75,5561.46
2018-11-16,5561.46,5676.32,5488.18,5510.9
2018-11-17,5512.76,5601.87,5496.46,5562.52
2018-11-18,5562.43,5695.92,5558.29,5606.2
2018-11-19,5605.98,5615.83,4760.94,4868.9
2018-11-20,4865.75,4952.77,4172.85,4329.8
2018-11-21,4329.66,4687.82,4275.65,4525.68
2018-11-22,4526.18,4640.34,4412.12,4469.33
2018-11-23,4468.88,4468.88,4158.05,4380.58
2018-11-24,4378.95,4431.79,3741.95,3798.41
2018-11-25,3794.16,4164.78,3550.46,4001.87
2018-11-26,4002.03,4124.07,3599.09,3703.05
2018-11-27,3702.42,3877.61,3616.09,3847.37
2018-11-28,3847.95,4393.29,3808.82,4231.59
2018-11-29,4231.58,4436.14,4130.72,4262.34
2018-11-30,4261.54,4330.86,3918.77,3984.71
2018-12-01,3986.73,4305.35,3942.62,4232.94
2018-12-02,4232.76,4318.27,4077.82,4165.14
2018-12-03,4165.99,4186.72,3797.45,3881.88
2018-12-04,3882.47,4081.53,3775.06,3942.46
2018-12-05,3942.01,3961.16,3720.7,3752.88
2018-12-06,3750.65,3882.31,3603.2,3628.66
2018-12-07,3628.67,3669.92,3248.78,3426.29
2018-12-08,3429.3,3581.11,3297.66,3546.29
2018-12-09,3558.46,3708.99,3437.26,3589.11
2018-12-10,3585.13,3645.11,3417.95,3478.85
2018-12-11,3478.85,3483.58,3349.73,3414.69
2018-12-12,3414.71,3543.76,3380.55,3465.88
2018-12-13,3465.78,3493.44,3273.44,3307.65
2018-12-14,3308.11,3330.07,3181.64,3258.08
2018-12-15,3257.54,3271.73,3169.82,3244.81
2018-12-16,3244.81,3318.5,3224.56,3257.64
2018-12-17,3257.64,3637.56,3240.9,3526.68
2018-12-18,3526.54,3620.4,3481.64,3607.14
2018-12-19,3606.84,3968.75,3604.99,3769.17
2018-12-20,3768.76,4224.4,3713.68,4125.31
2018-12-21,4127.96,4247.01,3831.94,3883.73
2018-12-22,3883.75,3994.84,3849.55,3924.96
2018-12-23,3924.87,4115.73,3924.87,4013.32
2018-12-24,4013.32,4303.37,3993.51,4107.12
2018-12-25,4107.12,4114.91,3735.72,3820.89
2018-12-26,3820.89,3923.92,3747.01,3850.77
2018-12-27,3851.61,3888.82,3628.39,3647.5
2018-12-28,3646.39,4007.14,3623.27,3929.69
2018-12-29,3929.05,3990.28,3870.95,3958.46
2018-12-30,3957.68,4000.53,3761.56,3885.54
2018-12-31,3885.54,3904.22,3702.95,3743.77
2019-01-01,3743.61,3798.53,3697.27,3781.26
2019-01-02,3781.26,3972.17,3779.92,3960.95
2019-01-03,3960.85,3989.56,3778.85,3844.51
2019-01-04,3844.56,3901.15,3784.59,3870.7
2019-01-05,3870.72,3926.92,3841.13,3867.56
2019-01-06,3867.57,4143.19,3831.12,4089.15
2019-01-07,4089.24,4131.52,4002.17,4041.56
2019-01-08,4041.56,4155.22,3992.95,4049.27
2019-01-09,4049.09,4092.23,4013,4049.55
2019-01-10,4049.6,4084.92,3631.49,3666.46
2019-01-11,3666.75,3727.73,3635.52,3652.69
2019-01-12,3654.31,3692.05,3617.94,3667.87
